# DAX option data
Trade_Date,2021-12-28
Time,11:00:00
DAX_Price,15948.77
Expiry_Date,2022-12-10
# Options
Strike_Price,Put_Bid,Put_Ask,Call_Bid,Call_Ask
6000.0,18.1,29.0,9934.0,10068.0
6500.0,24.1,37.0,9442.0,9570.0
6800.0,28.5,41.5,9147.0,9273.0
7000.0,32.5,45.0,8950.0,9075.0
7200.0,37.0,49.0,8754.0,8877.0
7400.0,42.0,53.0,8559.0,8680.0
7500.0,45.0,55.5,8461.0,8581.0
7600.0,47.0,58.0,8364.0,8483.0
7800.0,53.0,63.0,8169.0,8286.0
8000.0,59.0,69.0,7975.0,8090.0
8200.0,65.5,75.0,7780.0,7895.0
8400.0,72.5,82.0,7587.0,7699.0
8500.0,76.0,85.5,7490.0,7602.0
8600.0,79.5,89.0,7394.0,7505.0
8800.0,87.5,97.0,7201.0,7310.0
9000.0,95.5,105.0,7009.0,7116.0
9200.0,104.5,113.5,6818.0,6923.0
9400.0,114.0,123.5,6627.0,6730.0
9600.0,124.0,133.5,6437.0,6539.0
9800.0,135.0,144.0,6247.0,6348.0
10000.0,146.5,155.0,6059.0,6157.0
10200.0,158.5,167.0,5871.0,5967.0
10400.0,172.0,180.0,5683.0,5778.0
10600.0,186.0,194.0,5497.0,5590.0
10800.0,201.0,208.5,5312.0,5403.0
10900.0,209.0,216.0,5219.0,5309.0
11000.0,217.0,224.0,5127.0,5216.0
11200.0,233.5,240.5,4943.0,5030.0
11400.0,250.0,257.0,4792.0,4814.0
11600.0,268.0,276.0,4608.0,4630.0
11800.0,287.0,295.0,4428.0,4450.0
12000.0,307.0,316.0,4248.0,4270.0
12200.0,329.0,338.0,4069.0,4091.0
12400.0,353.0,361.0,3890.0,3913.0
12600.0,378.0,387.0,3716.0,3738.0
12800.0,406.0,414.0,3543.0,3564.0
13000.0,434.0,444.0,3369.0,3391.0
13200.0,465.0,474.0,3200.0,3221.0
13400.0,496.0,509.0,3029.0,3051.0
13500.0,513.0,527.0,2948.0,2969.0
13600.0,531.0,544.0,2864.0,2885.0
13800.0,567.0,582.0,2700.0,2721.0
14000.0,607.0,622.0,2539.0,2560.0
14100.0,627.0,643.0,2460.0,2481.0
14200.0,650.0,664.0,2380.0,2401.0
14300.0,671.0,687.0,2301.0,2323.0
14400.0,695.0,710.0,2224.0,2246.0
14500.0,717.0,734.0,2147.0,2169.0
14600.0,743.0,759.0,2071.0,2093.0
14700.0,769.0,785.0,1996.0,2018.0
14800.0,794.0,811.0,1922.0,1944.0
14900.0,821.0,839.0,1849.0,1870.0
15000.0,851.0,867.0,1777.0,1798.0
15100.0,880.0,896.0,1707.0,1728.0
15200.0,910.0,925.0,1635.0,1658.0
15300.0,941.0,957.0,1566.0,1587.0
15400.0,974.0,989.0,1499.0,1521.0
15500.0,1007.0,1024.0,1432.0,1452.0
15600.0,1044.0,1061.0,1368.0,1386.0
15700.0,1077.0,1095.0,1304.0,1324.0
15800.0,1115.0,1133.0,1241.0,1261.0
15900.0,1154.0,1172.0,1178.0,1199.0
16000.0,1195.0,1212.0,1118.0,1139.0
16100.0,1235.0,1254.0,1059.0,1079.0
16200.0,1280.0,1298.0,1002.0,1023.0
16300.0,1325.0,1343.0,946.0,966.0
16400.0,1373.0,1390.0,892.0,913.0
16500.0,1421.0,1439.0,840.0,861.0
16600.0,1471.0,1490.0,790.0,810.0
16700.0,1521.0,1541.0,742.0,761.0
16800.0,1574.0,1596.0,695.0,712.0
16900.0,1629.0,1650.0,650.0,667.0
17000.0,1686.0,1707.0,607.0,624.0
17200.0,1805.0,1826.0,526.0,543.0
17500.0,1999.0,2020.0,420.0,434.0
18000.0,2360.0,2381.0,279.0,289.0
18500.0,2763.0,2784.0,177.0,188.0
19000.0,3198.0,3220.0,111.0,123.0
19500.0,3631.0,3709.0,72.0,78.0
20000.0,4107.0,4189.0,48.0,52.0
22000.0,6073.0,6172.0,8.2,11.8
